,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
7673,24100022                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.000""           ",ZINC PLATED [GR.5]            ,B,4,24104869                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.304]                      ,P
7682,24100389                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.250""            ",ZINC PLATED [A574]            ,B,2,24104947                 ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 30MM               ,ZINC PLATED [CL8.8]           ,P
7683,24100389                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.250""            ",ZINC PLATED [A574]            ,B,3,24104440                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.250""            ",[SS.304]                      ,B
7684,24100389                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.250""            ",ZINC PLATED [A574]            ,B,4,149650                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 30MM               ,[SS.304]                      ,P
7688,24100391                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.500""            ",ZINC PLATED [A574]            ,B,2,24104735                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 35MM                ,ZINC PLATED [CL8.8]           ,B
7689,24100391                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.500""            ",ZINC PLATED [A574]            ,B,3,24101624                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.500""            ",[SS.304]                      ,P
7690,24100391                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.500""            ",ZINC PLATED [A574]            ,B,4,24104794                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 35MM                ,[SS.304]                      ,P
7695,24100392                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 3.500""            ",ZINC PLATED [A574]            ,B,3,117986                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 3.500""            ",[SS.304]                      ,P
7696,24100392                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 3.500""            ",ZINC PLATED [A574]            ,B,4,24104793                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 90MM                ,[SS.304]                      ,P
7700,24100393                 ,HEX.NUT                       ,#10-24UNC                     ,ZINC PLATED                   ,B,2,24101212                 ,HEX.NUT                       ,M5-0.80                       ,ZINC PLATED [CL8.8]           ,B
7701,24100393                 ,HEX.NUT                       ,#10-24UNC                     ,ZINC PLATED                   ,B,3,118185                   ,HEX.NUT                       ,#10-24UNC                     ,[SS.304]                      ,P
7702,24100393                 ,HEX.NUT                       ,#10-24UNC                     ,ZINC PLATED                   ,B,4,24104838                 ,HEX.NUT                       ,M5-0.80                       ,[SS.304]                      ,P
7706,24100394                 ,HEX.NUT                       ,#8-32UNC                      ,ZINC PLATED                   ,B,2,24101211                 ,HEX.NUT                       ,M4-0.70                       ,ZINC PLATED [CL8.8]           ,B
7707,24100394                 ,HEX.NUT                       ,#8-32UNC                      ,ZINC PLATED                   ,B,3,185648                   ,HEX.NUT                       ,#8-32UNC                      ,[SS.304]                      ,B
7708,24100394                 ,HEX.NUT                       ,#8-32UNC                      ,ZINC PLATED                   ,B,4,185655                   ,HEX.NUT                       ,M4-0.70                       ,[SS.304]                      ,B
7713,24100398                 ,HEX.SOC.CAP SCREW             ,M8-1.25 X 25MM                ,ZINC PLATED [CL8.8]           ,B,3,24102200                 ,HEX.SOC.CAP SCREW             ,"5/16-18UNC X 1.000""           ",[SS.304]                      ,P
7714,24100398                 ,HEX.SOC.CAP SCREW             ,M8-1.25 X 25MM                ,ZINC PLATED [CL8.8]           ,B,4,24104815                 ,HEX.SOC.CAP SCREW             ,M8-1.25 X 25MM                ,[SS.304]                      ,P
7716,24100398                 ,HEX.SOC.CAP SCREW             ,M8-1.25 X 25MM                ,ZINC PLATED [CL8.8]           ,B,6,158990                   ,HEX.SOC.CAP SCREW             ,M8-1.25 X 25MM                ,[SS.316]                      ,P
