,ITEMNO,SEARCHTEXT,TYPECONVERSION,ITEMCONVERTI,SEARCHTEXT_1,MATERIAL_1,MATERIAL_2,Unnamed: 0,material_jde
1479,122990,[SS.304],4,185659,[SS.304],SS304,SS304,42457.0,[SS.304]
1491,122992,[SS.304],4,209564,[SS.304],SS304,SS304,43380.0,[SS.304]
1519,118596,[SS.304],4,185817,[SS.304],SS304,SS304,77950.0,[SS.304]
1531,118620,[SS.304],4,185707,[SS.304],SS304,SS304,43015.0,[SS.304]
1537,118621,[SS.304],4,24104848,[SS.304],SS304,SS304,101264.0,[SS.304]
1555,118796,[SS.304],4,118797,[SS.304],SS304,SS304,42847.0,[SS.304]
1609,118933,[SS.304],4,24104781,[SS.304],SS304,SS304,41749.0,[SS.304]
1627,119168,[SS.304],4,119167,[SS.304],SS304,SS304,42849.0,[SS.304]
1645,119176,[SS.304],4,185546,[SS.304],SS304,SS304,41479.0,[SS.304]
1663,119179,[SS.304],4,24104765,[SS.304],SS304,SS304,41797.0,[SS.304]
1669,119180,[SS.304],4,185544,[SS.304],SS304,SS304,41469.0,[SS.304]
1705,119590,[SS.304],4,119584,[SS.304],SS304,SS304,43421.0,[SS.304]
1735,119795,[SS.304],4,24104821,[SS.304],SS304,SS304,42954.0,[SS.304]
1797,121027,[SS.316],6,182647,[SS.316],SS316,SS316,41575.0,[SS.316]
1803,121028,[SS.316],6,182682,[SS.316],SS316,SS316,42260.0,[SS.316]
1847,135629,[SS.304],4,118481,[SS.304],SS304,SS304,41486.0,[SS.304]
1853,135669,[SS.304],4,24104845,[SS.304],SS304,SS304,101272.0,[SS.304]
1859,135671,[SS.304],4,185598,[SS.304],SS304,SS304,41827.0,[SS.304]
1865,135672,[SS.304],4,185638,[SS.304],SS304,SS304,42097.0,[SS.304]
1923,139633,[SS.304],4,185745,[SS.304],SS304,SS304,43281.0,[SS.304]
1959,136816,[SS.304],4,24104801,[SS.304],SS304,SS304,42989.0,[SS.304]
1971,136994,[SS.304],4,185586,[SS.304],SS304,SS304,41710.0,[SS.304]
2029,123334,[SS.304],4,215862,[SS.304],SS304,SS304,41744.0,[SS.304]
2035,123337,[SS.304],4,24104845,[SS.304],SS304,SS304,101272.0,[SS.304]
2141,128432,ZINC PLATED,2,148112,ZINC PLATED,ZINC,ZINC,86881.0,ZINC PLATED
2185,134006,[SS.304],4,185501,[SS.304],SS304,SS304,10575.0,[SS.304]
2197,134179,[SS.304],4,185571,[SS.304],SS304,SS304,41661.0,[SS.304]
2215,134315,[SS.304],4,185641,[SS.304],SS304,SS304,42114.0,[SS.304]
2253,148022,[SS.304],4,185705,[SS.304],SS304,SS304,43009.0,[SS.304]
2303,139675,ZINC PLATED,2,108079,ZINC PLATED,ZINC,ZINC,43704.0,ZINC PLATED
2401,143542,[SS.304],4,185503,[SS.304],SS304,SS304,10577.0,[SS.304]
2461,145279,[SS.304],4,185653,[SS.304],SS304,SS304,42267.0,[SS.304]
2491,146380,[SS.304],4,119591,[SS.304],SS304,SS304,42946.0,[SS.304]
2515,146431,[SS.304],4,220924,[SS.304],SS304,SS304,41778.0,[SS.304]
2565,147289,[SS.316],6,182662,[SS.316],SS316,SS316,41786.0,[SS.316]
2571,147292,[SS.316],6,182642,[SS.316],SS316,SS316,41560.0,[SS.316]
2577,147293,[SS.316],6,182640,[SS.316],SS316,SS316,41533.0,[SS.316]
2587,147419,[SS.304],4,185696,[SS.304],SS304,SS304,42959.0,[SS.304]
2599,147500,[SS.304],4,209756,[SS.304],SS304,SS304,42869.0,[SS.304]
2673,159699,[SS.304],4,119587,[SS.304],SS304,SS304,41965.0,[SS.304]
2881,153160,[SS.304],4,170766,[SS.304],SS304,SS304,42976.0,[SS.304]
2899,153210,[SS.304],4,185518,[SS.304],SS304,SS304,10619.0,[SS.304]
2911,154054,[SS.304],4,185765,[SS.304],SS304,SS304,43373.0,[SS.304]
2917,154316,[SS.304],4,185783,[SS.304],SS304,SS304,43416.0,[SS.304]
2929,154357,[SS.304],4,185835,[SS.304],SS304,SS304,101267.0,[SS.304]
2965,155142,[SS.304],4,118010,[SS.304],SS304,SS304,41476.0,[SS.304]
2977,155769,[SS.304],4,118026,[SS.304],SS304,SS304,41510.0,[SS.304]
3043,164307,ZINC PLATED,2,210136,ZINC PLATED,ZINC,ZINC,43709.0,ZINC PLATED
3097,161169,[SS.304],4,117587,[SS.304],SS304,SS304,41865.0,[SS.304]
3217,162156,[SS.304],4,24104860,[SS.304],SS304,SS304,43574.0,[SS.304]
3719,166178,ZINC PLATED,2,168981,ZINC PLATED,ZINC,ZINC,43710.0,ZINC PLATED
3923,171348,ZINC PLATED,2,165398,ZINC PLATED,ZINC,ZINC,42558.0,ZINC PLATED
3937,171469,[SS.304],4,186231,[SS.304],SS304,SS304,43688.0,[SS.304]
4261,55030052,ZINC PLATED,2,210137,ZINC PLATED,ZINC,ZINC,43718.0,ZINC PLATED
4587,182141,[SS.304],4,24104782,[SS.304],SS304,SS304,41753.0,[SS.304]
4623,182345,[SS.304],4,149652,[SS.304],SS304,SS304,42899.0,[SS.304]
4789,180062,[SS.304],4,185794,[SS.304],SS304,SS304,43553.0,[SS.304]
4813,180983,[SS.304],4,185499,[SS.304],SS304,SS304,10573.0,[SS.304]
4831,181129,[SS.304],4,185753,[SS.304],SS304,SS304,43302.0,[SS.304]
4837,181130,[SS.304],4,180061,[SS.304],SS304,SS304,42110.0,[SS.304]
4849,181613,[SS.304],4,184799,[SS.304],SS304,SS304,42961.0,[SS.304]
4855,181614,[SS.304],4,24104372,[SS.304],SS304,SS304,43559.0,[SS.304]
4861,181615,[SS.304],4,24104534,[SS.304],SS304,SS304,42465.0,[SS.304]
4873,181670,[SS.304],4,185515,[SS.304],SS304,SS304,10606.0,[SS.304]
4927,182099,[SS.304],4,24104864,[SS.304],SS304,SS304,43583.0,[SS.304]
4933,182111,[SS.304],4,185574,[SS.304],SS304,SS304,41687.0,[SS.304]
5361,185027,[SS.304],4,185506,[SS.304],SS304,SS304,10582.0,[SS.304]
5367,185036,[SS.304],4,185615,[SS.304],SS304,SS304,41956.0,[SS.304]
5373,185041,[SS.304],4,185768,[SS.304],SS304,SS304,43383.0,[SS.304]
5607,183620,[SS.316],6,182732,[SS.316],SS316,SS316,101052.0,[SS.316]
5623,183747,[SS.304],4,185625,[SS.304],SS304,SS304,41977.0,[SS.304]
5659,184808,[SS.304],4,185685,[SS.304],SS304,SS304,42858.0,[SS.304]
5671,184810,[SS.304],4,185600,[SS.304],SS304,SS304,41829.0,[SS.304]
5677,184811,[SS.304],4,185700,[SS.304],SS304,SS304,42977.0,[SS.304]
5683,184812,[SS.304],4,185772,[SS.304],SS304,SS304,43389.0,[SS.304]
