,item_jde,material_jde
40917,363797,159881
40930,190837,HHCS1/2-13-0500
40931,190838,HHCS1/2-13-1250YZ8
40932,190839,HHCS1/2-13-1750YZ8
40933,190841,HHCS1/2-13-2500-G8
40934,190843,HHCS3/4-10-3250
40935,190844,HHCS3/8-16-1500-GR8
40936,190845,HHCS8-32-3250
40937,190846,"HHCSM10X1,5"
40938,190847,HHCSM10X20
40939,190848,HHCSM14X35
40940,190849,HHCSM16X45
40941,190851,HHCSM3X12
40942,190852,HHCSM4X10
40943,190853,HHCSM4X10SS
40944,190854,HHCSM8X20NYL
40945,190855,HHCSM8X35NYL
40946,190856,HHCSM8X50
40949,55000014,112261
40958,190850,HHCSM3X10
40972,168079,0MFST00853
40973,353153,0MFST00892
40974,353154,0MFST00846
40978,337291,0MFST00413
40979,337289,0MFST00335
40981,337286,0MFST00185
40982,353964,0MFST00160
40983,169710,[SS.316] #77944
40984,166285,ZINC PLATED
40989,219475,ZINC PLATED [CL8.8]
40990,224958,38877
40991,364371,95430A384
41006,340174,0MFST00184
41007,254206,PHOSPHATE [SEMS]
41008,254207,PHOSPHATE [SEMS]
41009,118933,[SS.304]
41010,182141,[SS.304]
41011,117531,ZINC PLATED
41012,185521,[SS.304]
41013,116968,ZINC PLATED
41014,222564,170693
41015,185522,[SS.304]
41016,119801,ZINC PLATED
41017,119800,ZINC PLATED
41018,123334,[SS.304]
41019,119094,ZINC PLATED
41020,119094,ZINC PLATED
41023,117654,[SS.304]
41024,158989,[SS.316]
41025,139519,ZINC PLATED [GR.5]
41026,24100162,ZINC PLATED [GR.5]
41027,24103213,[SS.304]
41028,147292,[SS.316]
41029,24100030,ZINC PLATED [GR.5]
41030,24102645,[SS.304]
41031,24100101,ZINC PLATED [GR.5]
41032,24107431,[SS.304]
41033,185223,[SS.316]
41034,24100031,ZINC PLATED [GR.5]
41035,24103849,ZINC PLATED [GR.12]
41036,24100102,ZINC PLATED [GR.5]
41037,24102292,[SS.304]
41038,121027,[SS.316]
41039,200089,ZINC PLATED [A325]
41040,24103876,ZINC PLATED [GR.12]
41041,24100032,ZINC PLATED [GR.5]
41042,24107017,ZINC PLATED [GR.8]
41043,117628,[SS.304]
41044,24100103,ZINC PLATED [GR.5]
41045,24103042,[SS.304]
41046,24103875,ZINC PLATED [GR.12]
41047,24100033,ZINC PLATED [GR.5]
41048,185523,[SS.304]
41049,24100104,ZINC PLATED [GR.5]
41050,117609,[SS.304]
41051,24100034,ZINC PLATED [GR.5]
41052,24100034,ZINC PLATED [GR.5]
41053,24104419,ZINC PLATED [GR.8]
41054,117663,[SS.304]
41055,24100105,ZINC PLATED [GR.5]
41056,24102120,[SS.304]
41057,24104374,ZINC PLATED [GR.12]
41058,24100035,ZINC PLATED [GR.5]
41059,24100895,ZINC PLATED [GR.8]
41060,185524,[SS.304]
41061,113703,ZINC PLATED [GR.5]
41062,24102123,[SS.304]
41063,147293,[SS.316]
41064,24100036,ZINC PLATED [GR.5]
41065,24102122,[SS.304]
41066,24100037,ZINC PLATED [GR.5]
41067,24102129,[SS.304]
41068,24100109,ZINC PLATED [GR.5]
41069,24102126,[SS.304]
41070,24102447,ZINC PLATED [GR.5]
41071,118092,[SS.304]
41072,24102178,ZINC PLATED [GR.5]
41073,122986,[SS.304]
41074,24102117,ZINC PLATED [GR.5]
41075,24109127,ZINC PLATED [GR.5]
41076,24102181,ZINC PLATED [GR.5]
41077,24103309,ZINC PLATED [GR.5]
41078,170878,ZINC PLATED [GR.5]
41079,24102858,ZINC PLATED [GR.5]
41080,50020038,ZINC PLATED
41081,145278,[SS.304]
41082,24100340,ZINC PLATED [GR.5]
41083,120471,ZINC PLATED [GR.5]
41084,185209,[SS.304]
41085,24106434,ZINC PLATED [GR.12]
41086,24101154,ZINC PLATED [GR.5]
41087,24106551,ZINC PLATED [GR.8]
41088,212997,YELLOW ZINC PLATED [GR.8]
41089,185061,[SS.304]
41090,200753,ZINC PLATED [GR.5]
41091,24106279,ZINC PLATED [GR.5]
41096,24102667,[SS.304]
41097,24100157,ZINC PLATED [GR.5]
41098,118571,[SS.304]
41099,113930,ZINC PLATED [GR.5]
41100,24101939,[SS.304]
41101,24100001,ZINC PLATED [GR.5]
41102,50010007,ZINC PLATED [GR.5]
41103,24102605,[SS.304]
41104,147289,[SS.316]
41105,24100002,ZINC PLATED [GR.5]
41106,254210,ZINC PLATED [GR.5]
41107,24103998,[SS.304]
41108,24100063,ZINC PLATED [GR.5]
41109,117623,[SS.304]
41110,24100003,ZINC PLATED [GR.5]
41111,119179,[SS.304]
41112,139512,ZINC PLATED [GR.5]
41113,24102230,[SS.304]
41114,24100004,ZINC PLATED [GR.5]
41115,117589,[SS.304]
41116,24100065,ZINC PLATED [GR.5]
41117,24102822,[SS.304]
41118,24100005,ZINC PLATED [GR.5]
41119,117655,[SS.304]
41120,24100066,ZINC PLATED [GR.5]
41121,117621,[SS.304]
41122,24100006,ZINC PLATED [GR.5]
41123,185525,[SS.304]
41124,113702,ZINC PLATED [GR.5]
41125,185526,[SS.304]
41126,139513,ZINC PLATED [GR.5]
41127,225142,ZINC PLATED [GR.5]
41128,24103676,[SS.304]
41129,24101745,ZINC PLATED [GR.5]
41130,118120,[SS.304]
41131,24109073,ZINC PLATED [GR.5]
41132,185527,[SS.304]
41133,24101743,ZINC PLATED [GR.5]
41134,218237,[SS.316]
41135,24100936,ZINC PLATED [GR.5]
41136,146431,[SS.304]
41137,219515,ZINC PLATED [GR.5]
41138,117820,ZINC PLATED [GR.5]
41139,225586,ZINC PLATED [GR.5]
41140,24100374,ZINC PLATED [GR.5]
41141,151216,ZINC PLATED [GR.5]
41142,24106972,ZINC PLATED [GR.5]
41143,206693,ZINC PLATED
41144,161565,ZINC PLATED
41145,24102547,ZINC PLATED [GR.5]
41146,206646,ZINC PLATED
41147,24106988,ZINC PLATED [GR.5]
41148,165560,ZINC PLATED [GR.5]
41149,206669,ZINC PLATED
41150,206645,ZINC PLATED
41151,206644,ZINC PLATED
41152,24106948,ZINC PLATED [GR.12]
41153,113906,ZINC PLATED [GR.8]
41154,154132,ZINC PLATED [GR.8]
41155,24106686,ZINC PLATED [GR.5]
41156,24106416,ZINC PLATED [GR.5]
41157,136699,ZINC PLATED
41158,167598,PLAIN FINISH [GR.5]
41159,115960,ZINC PLATED [GR.5]
41160,154356,[SS.304]
41161,24107048,ZINC PLATED [GR.5]
41162,24102127,ZINC PLATED [GR.5]
41163,24105962,ZINC PLATED [GR.5]
41164,140806,ZINC PLATED
41165,24101503,ZINC PLATED [GR.5]
41166,24107015,ZINC PLATED [GR.8]
41167,24103917,ZINC PLATED [GR.5]
41168,122991,[SS.304]
41169,24102637,ZINC PLATED [GR.5]
41170,24106885,ZINC PLATED [GR.12]
41171,24101338,ZINC PLATED [GR.5]
41172,24106926,ZINC PLATED [GR.5]
41173,24106927,ZINC PLATED [GR.5]
41174,24105207,ZINC PLATED [GR.5]
41175,137280,ZINC PLATED [GR.5]
41176,137279,ZINC PLATED
41177,185528,[SS.304]
41178,24102768,ZINC PLATED [GR.5]
41179,200120,YELLOW ZINC PLATED [GR.8]
41180,185529,[SS.304]
41181,159065,[SS.316]
41182,106007,ZINC PLATED [GR.5]
41183,204662,ZINC PLATED [GR.5]
41184,144716,ZINC PLATED [A325]
41185,24103310,[SS.304]
41186,24100045,ZINC PLATED [GR.5]
41187,136994,[SS.304]
41188,168980,GALVANIZED [A325]
41189,24100046,ZINC PLATED [GR.5]
41190,219354,[SS.304]
41191,24106038,ZINC PLATED [GR.5]
41192,185530,[SS.304]
41193,24100047,ZINC PLATED [GR.5]
41194,120472,ZINC PLATED [GR.8]
41195,205886,ZINC PLATED
41196,118372,[SS.304]
41197,24104255,ZINC PLATED [GR.12]
41198,24100048,ZINC PLATED [GR.5]
41199,107190,[SS.304]
41200,24104024,ZINC PLATED [GR.12]
41201,24102884,ZINC PLATED [GR.5]
41202,185531,[SS.304]
41203,24102522,ZINC PLATED [GR.5]
41204,182111,[SS.304]
41205,24100130,ZINC PLATED [GR.5]
41206,24107078,ZINC PLATED [GR.5]
41207,185532,[SS.304]
41208,24101883,ZINC PLATED [GR.5]
41209,185533,[SS.304]
41210,24103775,ZINC PLATED [GR.5]
41211,24105052,ZINC PLATED [GR.8]
41212,24101337,ZINC PLATED [GR.5]
41213,24103544,ZINC PLATED [GR.5]
41214,24101414,ZINC PLATED [GR.12]
41215,24103894,ZINC PLATED [GR.5]
41216,254211,ZINC PLATED [GR.5]
41217,24107933,ZINC PLATED
41218,254212,ZINC PLATED [GR.5]
41219,24102440,ZINC PLATED [GR.12]
41220,24106177,ZINC PLATED [GR.5]
41221,24107286,ZINC PLATED [GR.8]
41222,201111,ZINC PLATED [GR.8]
41223,24102991,ZINC PLATED [GR.5]
41224,24105320,ZINC PLATED [GR.8]
41225,203263,ZINC PLATED [GR.8]
41226,202105,ZINC PLATED [GR.8]
41227,185977,ZINC PLATED [GR.8]
41228,24105321,ZINC PLATED [GR.8]
41229,24107086,ZINC PLATED [GR.8]
41230,117872,ZINC PLATED [GR.5]
41231,24107300,ZINC PLATED [GR.8]
41232,219162,ZINC PLATED [GR.5]
41233,201118,ZINC PLATED [GR.5]
41234,24106505,ZINC PLATED [GR.8]
41236,208267,[SS.304]
41237,185534,[SS.304]
41238,24102083,ZINC PLATED [GR.5]
41239,24102668,[SS.304]
41240,24100080,ZINC PLATED [GR.5]
41241,222218,ZINC PLATED [GR.5]
41242,24103209,[SS.304]
41243,185222,[SS.316]
41244,24100014,ZINC PLATED [GR.5]
41245,24102644,[SS.304]
41246,24100081,ZINC PLATED [GR.5]
41247,24102608,[SS.304]
41248,24100015,ZINC PLATED [GR.5]
41249,117463,[SS.304]
41250,24100082,ZINC PLATED [GR.5]
41251,24102579,ZINC PLATED [GR.5]
41252,24106018,[SS.304]
41253,24100016,ZINC PLATED [GR.5]
41254,139685,ZINC PLATED [GR.8]
41255,24103041,[SS.304]
41256,24100083,ZINC PLATED [GR.5]
41257,24103135,[SS.304]
41258,24100017,ZINC PLATED [GR.5]
41259,117633,[SS.304]
41260,24100084,ZINC PLATED [GR.5]
41261,163879,ZINC PLATED [GR.8]
41262,107691,[SS.304]
41263,24100018,ZINC PLATED [GR.5]
41264,117630,[SS.304]
41265,24100085,ZINC PLATED [GR.5]
41266,24106017,[SS.304]
41267,24100019,ZINC PLATED [GR.5]
41268,184809,[SS.304]
41269,24100086,ZINC PLATED [GR.5]
41270,24104421,[SS.304]
41271,24100020,ZINC PLATED [GR.5]
41272,118176,[SS.304]
41273,24109077,ZINC PLATED [GR.5]
41274,185535,[SS.304]
41275,24103453,ZINC PLATED [GR.5]
41276,171737,[SS.316]
41277,119180,[SS.304]
41278,24100089,ZINC PLATED [GR.5]
41279,155142,[SS.304]
41280,24109078,ZINC PLATED [GR.5]
41281,119176,[SS.304]
41282,24101474,ZINC PLATED [GR.5]
41283,212224,[SS.304]
41284,24102832,ZINC PLATED [GR.5]
41285,24102291,ZINC PLATED [GR.5]
41286,117612,[SS.304]
41287,117611,ZINC PLATED [GR.5]
41288,135629,[SS.304]
41289,115898,ZINC PLATED [GR.5]
41290,161200,ZINC PLATED [GR.5]
41291,50020016,ZINC PLATED [GR.5]
41292,24100380,ZINC PLATED [GR.5]
41293,24102218,[SS.304]
41294,24109036,ZINC PLATED [GR.5]
41295,24100384,ZINC PLATED [GR.5]
41296,24106178,ZINC PLATED [GR.5]
41297,24107034,ZINC PLATED [GR.12]
41298,201548,ZINC PLATED [GR.8]
41299,125064,ZINC PLATED [GR.12]
41300,24107274,ZINC PLATED [GR.8]
41301,24100618,ZINC PLATED [GR.5]
41304,24102346,[SS.304]
41305,24100159,ZINC PLATED [GR.5]
41306,50010036,ZINC PLATED
41307,24102726,[SS.304]
41308,24100007,ZINC PLATED [GR.5]
41309,24103200,[SS.304]
41310,24100008,ZINC PLATED [GR.5]
41311,24102219,[SS.304]
41312,24100069,ZINC PLATED [GR.5]
41313,24106862,[SS.304]
41314,24100009,ZINC PLATED [GR.5]
41315,24102347,[SS.304]
41316,24100070,ZINC PLATED [GR.5]
41317,117622,[SS.304]
41318,24100010,ZINC PLATED [GR.5]
41319,161169, [SS.304]
41320,24100071,ZINC PLATED [GR.5]
41321,154856,ZINC PLATED [GR.8]
41322,185536,[SS.304]
41323,24100011,ZINC PLATED [GR.5]
41324,117613,[SS.304]
41325,24100072,ZINC PLATED [GR.5]
41326,24102220,[SS.304]
41327,24100012,ZINC PLATED [GR.5]
41328,254213,ZINC PLATED [GR.5]
41329,117664,[SS.304]
41330,24100013,ZINC PLATED [GR.5]
41331,117656,[SS.304]
41332,24100075,ZINC PLATED [GR.5]
41333,135671,[SS.304]
41334,24107075,ZINC PLATED [GR.5]
41335,184810,[SS.304]
41336,24100079,ZINC PLATED [GR.5]
41337,185537,[SS.304]
41338,149609,ZINC PLATED [GR.5]
41339,117149,ZINC PLATED [GR.5]
41340,116427,[SS.304]
41341,24109277,ZINC PLATED [GR.5]
41342,108851,[SS.304]
41343,24101143,ZINC PLATED [GR.5]
41344,24102100,ZINC PLATED [GR.5]
41345,146212,ZINC PLATED [GR.8] #329-185 S-
41346,216125,[SS.316]
41347,117670,[SS.304]
41348,24100038,ZINC PLATED [GR.5]
41349,185538,[SS.304]
41350,24100110,ZINC PLATED [GR.5]
41351,117666,[SS.304]
41352,24100039,ZINC PLATED [GR.5]
41353,24100111,ZINC PLATED [GR.5]
41354,24100040,ZINC PLATED [GR.5]
41355,117620,[SS.304]
41356,221049,BLACK OXIDE [A574]
41357,24100112,ZINC PLATED [GR.5]
41358,204489,ZINC PLATED
41359,24102410,[SS.304]
41360,24100041,ZINC PLATED [GR.5]
41361,117627,[SS.304]
41362,141020,ZINC PLATED [GR.5]
41363,122327,ZINC PLATED [GR.8]
41364,134179,[SS.304]
41365,24100042,ZINC PLATED [GR.5]
41366,185539,[SS.304]
41367,114077,ZINC PLATED [GR.5]
41368,168360,ZINC PLATED [GR.8]
41369,117592,[SS.304]
41370,24104622,ZINC PLATED [GR.12]
41371,24100043,ZINC PLATED [GR.5]
41372,107200,[SS.304]
41373,24104200,ZINC PLATED [GR.12]
41374,24100044,ZINC PLATED [GR.5]
41375,117591,[SS.304]
41376,24102124,ZINC PLATED [GR.5]
41377,117665,[SS.304]
41378,24100378,ZINC PLATED [GR.5]
41379,221138,YELLOW ZINC PLATED [GR.8]
41380,24102893,ZINC PLATED [GR.5]
41381,24103077,ZINC PLATED [GR.9]
41382,24102225,[SS.304]
41383,24107112,ZINC PLATED [GR.5]
41384,145337,[SS.304]
41385,221139,YELLOW ZINC PLATED [GR.8]
41386,24100349,ZINC PLATED [GR.5]
41387,24101040,ZINC PLATED [GR.5]
41388,24107373,ZINC PLATED [GR.5]
41389,113694,ZINC PLATED [GR.5]
41390,117653,[SS.304]
41391,24100745,ZINC PLATED [GR.5]
41392,24106175,ZINC PLATED [GR.5]
41393,24101161,ZINC PLATED [GR.5]
41394,24107706,ZINC PLATED
41395,24107285,ZINC PLATED [GR.8]
41396,212192,[SS.304]
41397,24109128,ZINC PLATED [GR.5]
41398,254214,ZINC PLATED [GR.8]
41399,204702,ZINC PLATED [GR.8]
41400,201071,ZINC PLATED [GR.8]
41401,201072,ZINC PLATED [GR.8]
41402,24100090,ZINC PLATED [GR.5]
41403,117632,[SS.304]
41404,24100022,ZINC PLATED [GR.5]
41405,24102601,[SS.304]
41406,24100091,ZINC PLATED [GR.5]
41407,24102226,[SS.304]
41408,24100023,ZINC PLATED [GR.5]
41409,24102602,[SS.304]
41410,24100092,ZINC PLATED [GR.5]
41411,24100024,ZINC PLATED [GR.5]
41412,139518,ZINC PLATED [GR.5]
41413,155769,[SS.304]
41414,24100025,ZINC PLATED [GR.5]
41415,117631,[SS.304]
41416,24100026,ZINC PLATED [GR.5]
41417,24102293,[SS.304]
41418,24100027,ZINC PLATED [GR.5]
41419,24100096,ZINC PLATED [GR.5]
41420,139511,ZINC PLATED [GR.5]
41421,24100029,ZINC PLATED [GR.5]
41422,140897,ZINC PLATED [GR.5]
41423,143346,ZINC PLATED [GR.5]
41424,24102743,ZINC PLATED [GR.5]
41425,117356,ZINC PLATED [GR.12]
41426,50020034,ZINC PLATED [GR.5]
41427,24102588,ZINC PLATED [GR.8]
41428,203270,ZINC PLATED [GR.8]
41429,203269,ZINC PLATED [GR.8]
41430,185976,ZINC PLATED [GR.8]
41431,206552,ZINC PLATED
41432,147040,ZINC PLATED [GR.5]
41433,172049,[SS.304]
41434,105990,ZINC PLATED [GR.5]
41435,106099,ZINC PLATED [GR.8]
41436,106012,ZINC PLATED [GR.5]
41437,183886,ZINC PLATED [GR.8]
41438,24105204,ZINC PLATED [GR.5]
41439,24100379,ZINC PLATED [GR.5]
41440,24107205,ZINC PLATED [GR.5]
41441,24107209,ZINC PLATED [GR.5]
41442,205012,ZINC PLATED
41443,24106793,ZINC PLATED [GR.5]
41444,206733,ZINC PLATED [GR.8]
41445,24102861,ZINC PLATED [GR.5]
41446,24101172,ZINC PLATED [GR.5]
41447,24101173,ZINC PLATED [GR.5]
41448,24101174,ZINC PLATED [GR.5]
41449,24101175,ZINC PLATED [GR.5]
41450,24101176,ZINC PLATED [GR.5]
41451,24101157,ZINC PLATED [GR.5]
41452,24101235,ZINC PLATED [CL8.8]
41453,24104373,ZINC PLATED [CL8.8]
41454,24104506,ZINC PLATED [CL8.8]
41455,24104507,ZINC PLATED [CL8.8]
41456,182631,[SS.316]
41457,24100222,ZINC PLATED [CL8.8]
41458,24104508,ZINC PLATED [CL8.8]
41459,24101234,ZINC PLATED [CL8.8]
41460,155884,[SS.304]
41461,24104503,ZINC PLATED [CL8.8]
41462,185540,[SS.304]
41463,185541,ZINC PLATED [CL8.8]
41464,118177,[SS.304]
41465,24104505,ZINC PLATED [CL8.8]
41466,159159,[SS.316]
41467,185542,[SS.304]
41468,185543,ZINC PLATED [CL8.8]
41469,185544,[SS.304]
41470,185545,ZINC PLATED [CL8.8]
41471,560110125GR8,ZINC PLATED
41472,213279,[SS.304]
41473,24104681,ZINC PLATED [CL8.8]
41474,119181,[SS.304]
41475,24104936,ZINC PLATED [CL8.8]
41476,118010,[SS.304]
41477,118009,ZINC PLATED [CL8.8]
41478,113535,ZINC PLATED [CL8.8]
41479,185546,[SS.304]
41480,185547,ZINC PLATED [CL8.8]
41481,119177,[SS.304]
41482,119175,ZINC PLATED [CL8.8]
41483,185548,[SS.304]
41484,107730,ZINC PLATED [CL8.8]
41485,118480,ZINC PLATED [CL8.8]
41486,118481,[SS.304]
41487,24104001,ZINC PLATED [CL8.8]
